Tick0,Q1_Estimate,Tick1,Q1_Earnings,Tick2,Q2_Estimate,Tick3,Q2_Earnings,Tick4,Q3_Estimate,Tick5,Q3_Earnings,Tick6,Q4_Estimate,Tick7,Q4_Earnings
33,0.49,117,0.51,157,0.54,248,0.51,320,0.48,363,0.5,400,0.47,478,0.5
33,0.49,117,0.51,157,0.54,248,0.51,320,0.48,363,0.5,400,0.47,478,0.5
44,0.52,116,0.51,200,0.53,237,0.52,308,0.55,351,0.52,413,0.54,470,0.52
57,0.55,116,0.52,196,0.51,246,0.52,327,0.53,362,0.5,405,0.52,473,0.51
68,0.52,128,0.52,166,0.55,231,0.52,274,0.5,366,0.5,424,0.47,478,0.5
86,0.49,114,0.49,198,0.53,247,0.5,273,0.48,356,0.5,402,0.49,475,0.51
70,0.51,118,0.51,194,0.52,243,0.5,288,0.51,353,0.51,408,0.49,475,0.52
52,0.49,127,0.49,178,0.53,245,0.52,303,0.51,365,0.5,423,0.55,473,0.53
32,0.5,128,0.49,164,0.49,239,0.49,326,0.45,352,0.48,410,0.5,469,0.52
33,0.51,115,0.49,191,0.52,239,0.5,282,0.52,358,0.52,446,0.52,477,0.51
84,0.49,114,0.5,180,0.52,247,0.52,323,0.48,360,0.5,412,0.5,475,0.52
80,0.5,112,0.5,199,0.52,232,0.51,316,0.49,360,0.48,420,0.51,473,0.53
85,0.52,114,0.52,190,0.49,236,0.51,317,0.46,366,0.49,417,0.52,478,0.52
30,0.47,125,0.48,206,0.54,232,0.52,306,0.51,360,0.52,410,0.5,473,0.52
87,0.52,120,0.49,195,0.53,230,0.52,289,0.5,358,0.51,406,0.5,477,0.51
