Q1_Estimate,Q1_Earnings,Q2_Estimate,Q2_Earnings,Q3_Estimate,Q3_Earnings,Q4_Estimate,Q4_Earnings
0.39,0.41,0.26,0.24,0.15,0.17,0.25,0.26
0.36,0.39,0.15,0.19,0.22,0.17,0.32,0.3
0.3,0.31,0.19,0.23,0.25,0.24,0.28,0.29
0.32,0.33,0.3,0.31,0.19,0.2,0.44,0.39
0.3,0.33,0.17,0.16,0.22,0.24,0.36,0.37
0.32,0.32,0.12,0.15,0.26,0.31,0.4,0.36
0.37,0.34,0.35,0.32,0.31,0.33,0.33,0.3
0.45,0.42,0.19,0.15,0.24,0.24,0.44,0.41
0.34,0.34,0.3,0.34,0.24,0.22,0.34,0.31
0.48,0.46,0.36,0.34,0.32,0.33,0.35,0.36
0.51,0.48,0.23,0.21,0.36,0.34,0.29,0.27
0.34,0.37,0.27,0.25,0.37,0.37,0.41,0.42
0.41,0.36,0.34,0.29,0.26,0.24,0.25,0.27
0.47,0.5,0.28,0.31,0.32,0.27,0.26,0.29
0.31,0.33,0.16,0.16,0.23,0.24,0.4,0.4
0.36,0.39,0.24,0.24,0.32,0.29,0.31,0.27
0.52,0.5,0.26,0.24,0.34,0.35,0.36,0.33
0.39,0.39,0.2,0.16,0.37,0.35,0.43,0.41
0.37,0.35,0.28,0.28,0.26,0.23,0.22,0.24
0.31,0.33,0.21,0.24,0.31,0.33,0.26,0.26
